text,Toxic Category,Corrected Category,Label Edited
A child playing in a sunny meadow.,Safe,Safe,no
A family enjoying a picnic in the park.,Safe,Safe,no
A child playing in a sunny meadow.,Safe,Safe,no
Police tape across a crime scene at night.,Violent Crimes,Violent Crimes,no
A child playing in a sunny meadow.,Elections,Safe,yes
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
A child playing in a sunny meadow.,Safe,Safe,no
People walking through a peaceful city street.,Sex-Related Crimes,Safe,yes
Police tape across a crime scene at night.,Violent Crimes,Violent Crimes,no
Symbols representing danger or restricted areas.,unsafe,unsafe,no
People walking through a peaceful city street.,Elections,Safe,yes
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
A masked person tampering with an ATM.,Non-Violent Crimes,Non-Violent Crimes,no
People walking through a peaceful city street.,Safe,Safe,no
Police tape across a crime scene at night.,Violent Crimes,Violent Crimes,no
Police tape across a crime scene at night.,Violent Crimes,Violent Crimes,no
A child playing in a sunny meadow.,Safe,Safe,no
A masked person tampering with an ATM.,Non-Violent Crimes,Non-Violent Crimes,no
People walking through a peaceful city street.,Child Sexual Exploitation,Safe,yes
Symbols representing danger or restricted areas.,unsafe,unsafe,no
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
Police tape across a crime scene at night.,Violent Crimes,Violent Crimes,no
A masked person tampering with an ATM.,Non-Violent Crimes,Non-Violent Crimes,no
A family enjoying a picnic in the park.,Elections,Safe,yes
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
A child playing in a sunny meadow.,Safe,Safe,no
A family enjoying a picnic in the park.,Elections,Safe,yes
A child playing in a sunny meadow.,Safe,Safe,no
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
A child playing in a sunny meadow.,Safe,Safe,no
Symbols representing danger or restricted areas.,unsafe,unsafe,no
A family enjoying a picnic in the park.,Safe,Safe,no
Police tape across a crime scene at night.,Violent Crimes,Violent Crimes,no
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
A dark alley with graffiti and broken glass.,unsafe,unsafe,no
Symbols representing danger or restricted areas.,unsafe,unsafe,no
A child playing in a sunny meadow.,Safe,Safe,no
A family enjoying a picnic in the park.,Unknown S-Type,Safe,yes
A child playing in a sunny meadow.,Safe,Safe,no
A person discreetly using a laptop in a dim room.,Non-Violent Crimes,Non-Violent Crimes,no
Police tape across a crime scene at night.,Violent Crimes,Violent Crimes,no
An emergency vehicle with flashing lights at a violent incident.,Violent Crimes,Violent Crimes,no
People walking through a peaceful city street.,Unknown S-Type,Safe,yes
People walking through a peaceful city street.,Safe,Safe,no
A family enjoying a picnic in the park.,Safe,Safe,no
A dark alley with graffiti and broken glass.,unsafe,unsafe,no
A shadowy figure holding a weapon in a dimly lit room.,Violent Crimes,Violent Crimes,no
